epoch,step,train_loss_step,val_loss
0,49,3.9659523963928223,
0,99,3.6365978717803955,
0,149,2.9320454597473145,
0,199,2.748189926147461,
0,249,2.4924628734588623,
0,299,2.207195520401001,
0,349,2.238701581954956,
0,399,2.1804912090301514,
0,449,2.146010160446167,
0,499,1.9460511207580566,
0,549,2.013547658920288,
0,599,1.9256716966629028,
0,649,1.7300714254379272,
0,699,1.8295809030532837,
0,749,1.8402421474456787,
0,799,1.7779291868209839,
0,849,1.4281377792358398,
0,899,1.6318120956420898,
0,949,1.5288619995117188,
0,999,1.3853904008865356,
0,1038,,0.1690567433834076
